x-axis, y-axis
2.222222222222222499e+01,1.187741157622628912e-01
2.242242242242242511e+01,9.930562982207069567e-02
2.262262262262262524e+01,7.983714388187848621e-02
2.282282282282282537e+01,6.036865794168630450e-02
2.302302302302302550e+01,4.090017200149409504e-02
2.322322322322322563e+01,3.248702086535365519e-02
2.342342342342342576e+01,2.722107479707453967e-02
2.362362362362362589e+01,2.195512872879542762e-02
2.382382382382382602e+01,1.668918266051631558e-02
2.402402402402402615e+01,1.352594815516336771e-02
2.422422422422422628e+01,3.611666643393746795e-02
2.442442442442442641e+01,5.870738471271157166e-02
2.462462462462462653e+01,8.129810299148566843e-02
2.482482482482482666e+01,1.038888212702597652e-01
2.502502502502502679e+01,1.287086933625672391e-01
2.522522522522522692e+01,1.572827369653111429e-01
2.542542542542542705e+01,1.858567805680550467e-01
2.562562562562562718e+01,2.144308241707989227e-01
2.582582582582582731e+01,2.430048677735427987e-01
2.602602602602602744e+01,2.678419052291282076e-01
2.622622622622622757e+01,2.908353191673462845e-01
2.642642642642642770e+01,3.138287331055643059e-01
2.662662662662662783e+01,3.368221470437823273e-01
2.682682682682682795e+01,3.598155609820004042e-01
2.702702702702702808e+01,3.546545872453338299e-01
2.722722722722722821e+01,3.485242761525487176e-01
2.742742742742742834e+01,3.423939650597636053e-01
2.762762762762762847e+01,3.362636539669784930e-01
2.782782782782782860e+01,3.180772493227709274e-01
2.802802802802802873e+01,2.662443155857717736e-01
2.822822822822822886e+01,2.144113818487726197e-01
2.842842842842842899e+01,1.625784481117734381e-01
2.862862862862862912e+01,1.107455143747742843e-01
2.882882882882882924e+01,8.057095844487401071e-02
2.902902902902902937e+01,6.735356099497222249e-02
2.922922922922922950e+01,5.413616354507044814e-02
2.942942942942942963e+01,4.091876609516865992e-02
2.962962962962962976e+01,2.770136864526687864e-02
2.982982982982982989e+01,2.422679368551253903e-02
3.003003003003003357e+01,2.236533033107207871e-02
3.023023023023023370e+01,2.050386697663165309e-02
3.043043043043043383e+01,1.864240362219122746e-02
3.063063063063063396e+01,1.656846865262728841e-02
3.083083083083083409e+01,1.333646536339897805e-02
3.103103103103103422e+01,1.010446207417066943e-02
3.123123123123123435e+01,6.872458784942360802e-03
3.143143143143143448e+01,3.640455495714052178e-03
3.163163163163163460e+01,4.814034308568166699e-03
3.183183183183183473e+01,1.132662077937589967e-02
3.203203203203203486e+01,1.783920725018363351e-02
3.223223223223223499e+01,2.435179372099136735e-02
3.243243243243243512e+01,3.086438019179910119e-02
3.263263263263263525e+01,5.609950795152198605e-02
3.283283283283283538e+01,8.760269854923449784e-02
3.303303303303303551e+01,1.191058891469470027e-01
3.323323323323323564e+01,1.506090797446595075e-01
3.343343343343343577e+01,1.820435556457302706e-01
3.363363363363363590e+01,2.120613761987609203e-01
3.383383383383383602e+01,2.420791967517915422e-01
3.403403403403403615e+01,2.720970173048221641e-01
3.423423423423423628e+01,3.021148378578528138e-01
3.443443443443443641e+01,3.293520124395021842e-01
3.463463463463463654e+01,3.512709923840158233e-01
